,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,56.57,68,0,12.59,AU,1669052369
1,Albany,42.6001,-73.9662,37.02,50,53,9.44,US,1669052268
2,Salto,-31.3833,-57.9667,66.36,94,100,9.22,UY,1669052110
3,Kapaa,22.0752,-159.319,75.52,82,75,23.02,US,1669052370
4,Faanui,-16.4833,-151.75,79.03,75,22,15.46,PF,1669052370
5,Mataura,-46.1927,168.8643,47.55,92,60,3.0,NZ,1669052371
6,Rikitea,-23.1203,-134.9692,71.78,86,82,11.61,PF,1669052359
7,Port Lincoln,-34.7333,135.8667,54.21,70,94,11.88,AU,1669052371
8,Lokosovo,61.1333,74.8167,16.7,94,100,10.54,RU,1669052372
9,Dauriya,49.9333,116.8667,0.37,94,90,4.45,RU,1669052372
10,Port Hedland,-20.3167,118.5667,75.25,60,100,13.8,AU,1669052079
11,Kattivākkam,13.2167,80.3167,75.29,93,100,17.22,IN,1669052373
12,Atuona,-9.8,-139.0333,77.45,67,54,17.13,PF,1669052373
13,Sungai Raya,0.7,108.9,78.93,85,100,3.91,ID,1669052080
14,Tual,-5.6667,132.75,84.24,73,100,7.87,ID,1669052374
15,Vaini,-21.2,-175.2,75.36,88,20,5.75,TO,1669052081
16,Coquimbo,-29.9533,-71.3436,62.33,77,75,13.8,CL,1669052082
17,Gavrilov Posad,56.5597,40.1175,14.25,100,88,4.27,RU,1669052374
18,Norman Wells,65.282,-126.8329,19.44,93,75,3.44,CA,1669052375
19,Hobart,-42.8794,147.3294,41.05,81,41,11.5,AU,1669052376
20,Hūn,29.1268,15.9477,60.04,43,0,5.91,LY,1669052376
21,Josanicka Banja,43.3895,20.7503,38.5,98,99,1.99,RS,1669052377
22,Kavaratti,10.5669,72.642,81.45,51,0,6.87,IN,1669052377
23,Saint George,37.1041,-113.5841,36.19,44,0,0.0,US,1669052187
24,Hongjiang,27.11,109.9956,64.49,98,80,3.67,CN,1669052377
25,Iqaluit,63.7506,-68.5145,13.73,85,40,2.3,CA,1669052378
26,Tasiilaq,65.6145,-37.6368,37.56,91,100,14.18,GL,1669052085
27,New Norfolk,-42.7826,147.0587,40.71,71,49,1.99,AU,1669052378
28,Nome,64.5011,-165.4064,28.47,86,100,0.0,US,1669052356
29,Lüderitz,-26.6481,15.1594,66.11,70,87,3.02,NA,1669052379
30,Naryan-Mar,67.6713,53.087,12.02,87,100,6.98,RU,1669052379
31,Caravelas,-17.7125,-39.2481,76.28,80,100,9.26,BR,1669052380
32,Umluj,25.0213,37.2685,81.81,58,54,9.13,SA,1669052380
33,Trairi,-3.2778,-39.2689,85.5,56,29,17.45,BR,1669052092
34,Umm Kaddadah,13.6017,26.6876,76.26,22,0,10.83,SD,1669052088
35,Vao,-22.6667,167.4833,76.12,82,89,10.76,NC,1669052089
36,Avarua,-21.2078,-159.775,73.45,73,20,4.61,CK,1669052381
37,Betūl,21.9153,77.8961,58.14,49,83,1.92,IN,1669052089
38,Taoudenni,22.6783,-3.9836,74.37,19,0,11.97,ML,1669052381
39,Sept-Îles,50.2001,-66.3821,27.12,64,40,11.5,CA,1669052382
40,Tiksi,71.6872,128.8694,-22.92,100,89,3.67,RU,1669052348
41,Khatanga,71.9667,102.5,-37.26,100,67,1.14,RU,1669052382
42,Cape Town,-33.9258,18.4232,67.26,56,0,18.41,ZA,1669052091
43,Pevek,69.7008,170.3133,-5.73,97,100,9.22,RU,1669052092
44,Ushuaia,-54.8,-68.3,56.82,54,75,16.11,AR,1669052383
45,Hermanus,-34.4187,19.2345,62.69,72,76,4.41,ZA,1669052383
46,Pokhara,28.2333,83.9833,59.97,45,0,5.14,NP,1669052343
47,Hambantota,6.1241,81.1185,77.86,76,69,10.42,LK,1669052093
48,Suntar,62.1444,117.6319,-9.56,96,99,2.3,RU,1669052384
49,San Patricio,28.017,-97.5169,49.86,85,100,12.86,US,1669052385
50,Saint Paul Harbor,57.79,-152.4072,36.91,100,100,3.44,US,1669052385
51,Severo-Kuril'sk,50.6789,156.125,40.78,86,100,20.36,RU,1669052385
52,Cherskiy,68.75,161.3,-30.93,100,99,3.33,RU,1669052095
53,Zhigansk,66.7697,123.3711,-30.78,100,99,0.36,RU,1669052386
54,Geraldton,-28.7667,114.6,64.81,72,34,6.91,AU,1669052386
55,Cabo San Lucas,22.8909,-109.9124,80.51,66,40,9.22,MX,1669052387
56,Ailigandí,9.2333,-78.0167,80.78,78,97,12.33,PA,1669052096
57,East London,-33.0153,27.9116,74.34,73,0,10.36,ZA,1669052387
58,Salalah,17.0151,54.0924,80.69,69,0,3.44,OM,1669052369
59,Paamiut,61.994,-49.6678,21.74,89,95,4.97,GL,1669052388
60,Mitú,1.1983,-70.1733,79.74,93,96,3.0,CO,1669052388
61,Bairiki Village,1.3292,172.9752,80.6,83,20,11.5,KI,1669052388
62,Arraial do Cabo,-22.9661,-42.0278,84.16,74,20,23.02,BR,1669052098
63,Ayan,56.45,138.1667,14.95,66,100,14.58,RU,1669052389
64,Viranşehir,37.2353,39.7631,58.55,53,100,3.33,TR,1669052389
65,Vila Velha,-20.3297,-40.2925,78.75,81,75,10.36,BR,1669052390
66,Kidal,18.4411,1.4078,81.21,10,100,8.5,ML,1669052390
67,Vågåmo,61.8751,9.0967,23.36,93,89,4.18,NO,1669052390
68,Ambilobe,-13.2,49.05,76.75,84,85,2.48,MG,1669052391
69,Bluff,-46.6,168.3333,50.97,82,88,8.3,NZ,1669052101
70,Port Elizabeth,-33.918,25.5701,70.11,84,75,13.8,ZA,1669052391
71,Yerbogachën,61.2767,108.0108,-7.22,99,100,1.66,RU,1669052392
72,Panama City,8.9936,-79.5197,85.44,79,75,8.05,PA,1669052392
73,Longyearbyen,78.2186,15.6401,37.24,81,75,12.66,SJ,1669052102
74,Nikolskoye,59.7035,30.7861,21.09,89,76,4.61,RU,1669052392
75,Merauke,-8.4667,140.3333,79.14,86,94,6.04,ID,1669052104
76,Puerto Ayora,-0.7393,-90.3518,76.96,98,92,8.01,EC,1669052200
77,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,67.73,83,99,11.86,AR,1669052393
78,Sibolga,1.7427,98.7792,74.95,89,83,2.51,ID,1669052105
79,Korla,41.7597,86.1469,36.52,41,49,2.84,CN,1669052106
80,Nouakchott,18.0858,-15.9785,94.93,26,0,10.8,MR,1669052106
81,Sitka,57.0531,-135.33,48.09,71,100,27.63,US,1669052394
82,Butaritari,3.0707,172.7902,80.28,82,33,16.31,KI,1669052394
83,La Ronge,55.1001,-105.2842,16.05,86,75,8.05,CA,1669052395
84,Marinette,45.1,-87.6307,34.25,68,18,12.68,US,1669052395
85,Tres Arroyos,-38.3739,-60.2798,61.23,58,99,13.2,AR,1669052396
86,Qaanaaq,77.484,-69.3632,-8.27,80,100,3.67,GL,1669052396
87,Buraidah,26.326,43.975,66.65,35,0,7.56,SA,1669052396
88,Barrow,71.2906,-156.7887,19.42,86,100,19.57,US,1669052397
89,Palana,59.1167,159.9667,25.56,94,100,17.07,RU,1669052397
90,Dikson,73.5069,80.5464,-24.84,96,6,3.58,RU,1669052397
91,Tskneti,41.6939,44.6937,42.3,53,100,1.14,GE,1669052398
92,Qui Nhon,13.7667,109.2333,76.1,93,100,5.14,VN,1669052112
93,Ilulissat,69.2167,-51.1,15.82,79,40,1.14,GL,1669052398
94,Punta Arenas,-53.15,-70.9167,48.31,81,100,12.66,CL,1669052113
95,Esperance,-33.8667,121.9,52.7,75,20,11.65,AU,1669052399
96,Wanning,18.8003,110.3967,76.42,94,100,3.94,CN,1669052114
97,Hasaki,35.7333,140.8333,53.22,79,70,10.85,JP,1669052400
98,Tuktoyaktuk,69.4541,-133.0374,17.6,93,100,4.61,CA,1669052400
99,Pangoa,-12.1167,-73.0,78.57,85,90,3.49,PE,1669052400
100,Isangel,-19.55,169.2667,78.33,81,5,3.49,VU,1669052401
101,Faya,18.3851,42.4509,61.32,53,60,5.75,SA,1669052401
102,Saskylakh,71.9167,114.0833,-32.4,99,72,5.08,RU,1669052402
103,Fortuna,40.5982,-124.1573,44.94,87,0,9.22,US,1669052402
104,Lagoa,39.05,-27.9833,64.35,92,100,28.7,PT,1669052402
105,Shirokiy,49.758,129.523,-5.26,99,14,3.62,RU,1669052403
106,Shingū,33.7333,135.9833,54.88,81,63,5.08,JP,1669052403
107,Ugoofaaru,5.6667,73.0,81.68,66,94,11.99,MV,1669052404
108,Perth,-31.9333,115.8333,71.78,42,0,25.32,AU,1669052404
109,Nkowakowa,-23.8878,30.2871,71.38,57,23,1.86,ZA,1669052405
110,Airai,-8.9266,125.4092,62.58,93,99,1.66,TL,1669052405
111,Tuatapere,-46.1333,167.6833,50.76,89,71,5.95,NZ,1669052406
112,Ixtapa,20.7,-105.2,76.23,73,100,0.0,MX,1669052406
113,Kaitangata,-46.2817,169.8464,50.59,74,84,4.59,NZ,1669052407
114,Āndippatti,9.9833,77.6333,72.23,82,15,1.77,IN,1669052122
115,Yellowknife,62.456,-114.3525,27.12,100,75,5.75,CA,1669052311
116,Marzuq,14.4,46.4667,67.73,42,55,4.88,YE,1669052407
117,San Andrés,12.5847,-81.7006,86.02,74,100,17.27,CO,1669052408
118,La Rioja,42.25,-2.5,40.78,99,79,7.47,ES,1669052408
119,Adrar,20.5022,-10.0711,76.14,13,0,10.96,MR,1669052409
120,Port Alfred,-33.5906,26.891,67.17,89,3,5.99,ZA,1669052409
121,Bredasdorp,-34.5322,20.0403,61.65,69,86,5.84,ZA,1669052409
122,George Town,5.4112,100.3354,83.23,86,40,5.01,MY,1669052204
123,Khudumelapye,-23.8833,24.75,80.47,32,93,9.95,BW,1669052125
124,Upernavik,72.7868,-56.1549,7.88,96,91,6.04,GL,1669052410
125,Peto,20.1333,-88.9167,89.42,49,99,1.9,MX,1669052411
126,Cidreira,-30.1811,-50.2056,74.68,77,100,12.97,BR,1669052411
127,Venice,27.0998,-82.4543,79.14,81,75,20.71,US,1669052411
128,Ribeira Grande,38.5167,-28.7,68.4,88,75,18.01,PT,1669052127
129,Maniitsoq,65.4167,-52.9,20.23,83,99,3.51,GL,1669052412
130,Dhanaula,30.2833,75.5833,63.14,31,1,4.76,IN,1669052412
131,Port Blair,11.6667,92.75,77.04,88,40,0.0,IN,1669052413
132,Menongue,-14.6585,17.691,74.98,42,98,3.47,AO,1669052413
133,Itupiranga,-5.1347,-49.3267,95.32,52,70,3.06,BR,1669052414
134,Nālūt,30.3333,10.85,54.66,37,0,6.87,LY,1669052130
135,Lavrentiya,65.5833,-171.0,13.17,74,100,20.47,RU,1669052415
136,Bandarbeyla,9.4942,50.8122,78.57,72,71,22.28,SO,1669052131
137,Aswān,24.0934,32.907,87.1,30,0,11.5,EG,1669052415
138,Ostrovnoy,68.0531,39.5131,32.92,96,100,6.82,RU,1669052416
139,Carnarvon,-24.8667,113.6333,73.69,57,57,10.85,AU,1669052315
140,Dudinka,69.4058,86.1778,-35.88,100,86,2.86,RU,1669052416
141,Olafsvik,64.8945,-23.7142,42.17,74,57,17.43,IS,1669052417
142,Clyde River,70.4692,-68.5914,-12.77,70,75,12.66,CA,1669052269
